xid	pm	zhan	kind
1	29	绿岛家园	2
1	2	绿岛家园	1
1	21	南口东街	1
1	4	东桑园	2
1	21	寨口	2
1	13	葛村	2
1	5	三家店	1
1	6	军庄	1
1	8	谷庙	1
1	9	灰口	1
1	10	寨口	1
1	18	温泉	2
1	10	南口东街	2
1	23	谷庙	2
1	24	杨坨	2
1	9	南口环岛	2
1	3	城子大街南口	1
1	29	延庆南菜园	1
1	27	东桑园	1
1	18	葛村	1
1	6	大浮坨	2
1	27	城子	2
1	4	城子	1
1	28	司家营	1
1	15	周家坟	2
1	17	阳坊	1
1	15	后沙涧	1
1	14	西小营	1
1	12	周家巷	1
1	26	三家店	2
1	19	周家巷	2
1	14	阳坊	2
1	8	八达岭	2
1	7	营城子	2
1	1	延庆南菜园总站	2
1	30	地铁苹果园站	2
1	19	南口农场	1
1	20	大觉寺	2
1	22	灰口	2
1	25	军庄	2
1	11	大觉寺	1
1	1	地铁苹果园站	1
1	16	周家坟	1
1	13	温泉	1
1	23	八达岭	1
1	17	西小营	2
1	20	南口	1
1	7	杨坨	1
1	24	营城子	1
1	26	新宝庄	1
1	11	南口	2
1	12	南口农场	2
1	25	大浮坨	1
1	22	南口环岛	1
1	16	后沙涧	2
1	5	新宝庄	2
1	3	司家营	2
1	2	延庆南菜园	2
1	30	延庆南菜园总站	1
1	28	城子大街南口	2
4	13	土桥	1
4	2	四惠东	1
4	1	土桥	2
4	9	双桥	2
4	4	九棵树	2
4	5	果园	2
4	7	八里桥	2
4	12	四惠东	2
4	6	通州北苑	2
4	12	临河里	1
4	10	九棵树	1
4	9	果园	1
4	7	八里桥	1
4	6	管庄	1
4	11	高碑店	2
4	8	通州北苑	1
4	3	高碑店	1
4	13	四惠	2
4	4	传媒大学	1
4	10	传媒大学	2
4	11	梨园	1
4	2	临河里	2
4	3	梨园	2
4	8	管庄	2
4	5	双桥	1
4	1	四惠	1
6	19	羊头岗村	1
6	15	地铁苏庄站	1
6	18	大董村	1
6	14	地铁良乡南关站	1
6	21	黄村东大街东口	2
6	19	大兴桥南	2
6	18	黄良路东口	2
6	25	燕化设计院	1
6	26	燕化向阳	1
6	1	燕化向阳	2
6	2	燕化设计院	2
6	3	燕化影剧院	2
6	4	燕化北庄	2
6	5	燕化聚酯厂	2
6	6	燕化动力厂	2
6	7	中铁房山桥梁公司	2
6	8	羊头岗村	2
6	9	大董村	2
6	10	阎村	2
6	11	苏庄西街南口	2
