id	busw
1	919专线[苹果园]
4	地铁八通线(M1)
6	黄村-向阳专线
1841	房18支1路
1953	519区间
8	1路
1554	542路
10	快速公交1线
11	地铁1号线(M1)
12	2路
14	地铁2号线外环(M2)
15	地铁2号线内环(M2)
16	特3路
1553	541路
18	特4路
19	5路
21	6路
23	7路
24	特7路
25	8路
26	特8外环
27	特8内环
1345	921路
30	9路
31	10路
32	11路
33	12路(环行)
34	13路
35	地铁13号线(M13)
36	14路
37	15路
38	16路
39	17路
40	18路
41	19路
42	20路
43	21路
44	22路
45	23路
46	24路
47	25路
48	26路
49	27路
50	28路
51	29路
52	30路
53	31路
54	32路
55	33路
56	34路
57	35路
59	36路(环行)
60	37路
61	38路
62	39路
63	40路
64	41路
65	42路
66	43路
67	44内环
68	44外环
69	46路
70	47路
71	49路
72	51路
73	52路
74	55路
75	56路
76	57路
77	58路
78	59路
79	60路
80	62路
81	65路
82	66路
83	68路
84	101电车
85	69路
86	71路
87	运通101线
88	102电车
894	510路
1509	地铁西郊线[未运营]
90	运通102线
91	103电车
92	运通103线
93	104快车
94	104电车
95	运通104线
96	105电车
97	运通105线
98	106电车
99	运通106线
100	107电车
101	运通107线
102	108电车
103	运通108线
104	109电车
105	运通109线
106	110路
107	运通110线
108	111电车
109	运通111线
110	112电车
111	运通112线
112	113路
113	运通113线
114	114电车
115	运通114线
116	115电车
117	运通115线
118	116路
119	运通116线
120	117路
121	118电车
122	119路
123	120路
124	121路
126	122路
127	123路
128	124电车
129	125路
130	126路
131	201夜班
132	70路
133	运通201线
134	202夜班
135	运通202线
136	203夜班
137	204夜班内环
138	204夜班外环
139	205夜班
140	运通205线
141	206夜班
142	207夜班
143	208夜班
144	209夜班
1775	835快车(原917支4区间)
145	210夜班
146	211夜班
147	212夜班
148	300快车内环
149	300快车外环
150	300内环
151	300外环
152	301路
153	302路
154	303路
155	304路
156	305路
157	306路
158	307路
159	308路
160	309路
161	310路
162	311路
163	312区间
164	312路
165	313路
166	314路
167	315路
168	316路
169	317路
170	318路
171	319路
172	320区间
173	320路
174	321路
176	322路
177	323快车
180	324路
181	325路
182	327路
183	328路
184	329路
185	330路
186	331路
187	332路
188	333外环
189	334路
190	335路
191	336快车
192	336路
193	337路
194	338路
195	339路
196	340路
197	341路
198	342路
199	343路
200	344快车
201	519路
202	345快车
873	919班车[八达岭陵园]
203	345路
204	346路
205	347路
206	348路
207	349路
208	350路
209	351路
210	352路(环行)
211	353路
212	354路
213	355路
214	356路
216	357路
218	359路
220	360快车
221	360慢车
222	361路
223	362路
224	534路
225	363路
226	364路
227	365路
228	366路
229	366快车
230	367路
231	368路
232	369路
233	370路
234	371路
235	372路
236	373路
237	374路
238	375路
239	376路
240	377路
241	378路
242	379路
243	380路
244	454路
245	381路
1928	平49路
247	383路
248	384路
249	385路
250	386路
251	387路
1628	昌69路
254	390路
255	391路
256	392路
257	393路
258	394路
259	395路
260	396路
261	397路
262	398路
263	399外环
264	401路
265	402路
266	403路
267	404路
268	405路
269	406路
270	407路
271	408路
272	409路
273	410路
274	411路
275	412路
276	413路
277	414路
278	415路
279	416路(环行)
280	417路
281	418路
282	419路
283	420路
284	421路
285	422路
286	423路
287	424路
288	425路
289	426路
290	430路
291	431路
292	433路
293	434路
294	435路
295	436路
296	437路
297	438路
298	439路
299	440路
300	441路
301	442路(环行)
302	443路
303	444路
304	445路
306	446路
307	447路
308	448路(环行)
309	449路
310	450路
311	451路
312	452路
313	453路
314	87路
315	596路
316	603路
317	604路
318	130路
319	595路
320	89路
321	610路
323	613路
324	131路
325	616路
326	78路
327	618路
328	79路
329	76路
330	597路
331	598路
332	132路
333	624路
334	88路
335	627路
336	628路
337	629路
338	630路
339	631路
340	631快车
341	632路
342	633路
343	563路
345	637路
346	638路
347	639路
348	640路
349	642路
350	643路
987	地铁8号线(M8)
353	645路
354	646路
355	647路
356	648路
357	649路
358	80路
1545	Y08路(原920南环[柳沟-艾官营])
360	512路
361	653路
362	654路
363	599路
364	656路
365	657路
366	659路
368	661路
369	662路
370	663路
371	664路
372	550路
373	701路
374	694路
375	673路
376	672路
377	74路
378	686路
379	666路
380	707路
674	45路
383	677路
384	64路
385	676路
387	714路
388	715路
390	697路
391	717路
392	718路
394	691路
397	723路
912	688路
400	690路
401	695路
402	728路
404	729路
702	53路
407	731路
408	731区间快车
409	665路
410	698路
411	641路
412	736路
413	526路
414	696路
416	740外环
418	740内环
420	741路
422	561路
423	692路
424	746路
425	941路
426	693路
427	509路
428	750路
429	751路
952	980快车
431	753路
904	678路
906	504路
434	758路
436	952路
1859	320专线
1589	Y09路(原920班车[高庙屯])
1326	摆站533路
437	特12外环
438	特12内环
439	601路
440	683路
441	99路
442	特11路
444	689路
446	684路
447	608路
448	77路
449	609路
450	699路
451	685路
913	674路
453	614路
454	635路
456	特10路
457	625路
458	670路
461	67路
463	687路
464	623路
466	626路
467	660路
470	675路
693	483路
911	497路
473	617路
476	607路
477	特9外环
478	特9内环
481	619路
483	667路
484	669路
485	668路
486	620路
487	612路
488	611路
489	621路
908	506路
493	75路
495	909路
496	913路
497	887路(原914路)
498	915路
499	850路(原915支2路)
500	915支3北线
501	916路
504	834路(原917支线)
506	833路(原917支3路)
1148	457区间
1701	425快车
507	838路(原917支4路)(跨省)
509	832路(原917专线)
510	833定班(原917支3定班)
511	978快车(原917北线区间)
1785	917路
517	830路(原917房山)
518	918空调
1618	918路
955	522路
520	918区间[金海湖]
522	919快车(原919直达快车[延庆])
523	883路(原919区间)
524	881路(原919支1路)
525	880路(原919支线)(跨省)
526	882路(原919支2区间)
527	889路(原919支3路)
529	920路[张山营-下营]
530	876路(原920西环[康庄])
1970	920南环[四司]
531	920东环延长线[刘斌堡]
532	874路(原920南环[永宁南关])
1971	机场10线
533	923路
534	924路
536	925支1路[小川-前南天门]
537	926路
1958	90外环
539	997路
540	927路
542	821路(原927区间)
544	929路[木城涧]
545	929路[千军台]
926	地铁5号线(M5)
547	892路[斋堂-双塘涧-小龙门](原929支线[斋堂-双塘涧-小龙门])
548	892路[黄塔-百花山](原929支线[黄塔-百花山])
549	892路[龙门涧](原929支线[龙门涧])
550	M04路(原929支线[灵水-煤窝])
1583	901直达快车
552	892路[爨底下](原929支线[爨底下])
553	930路(跨省)
554	812路(原930专线)(跨省)
555	811路(原930支线)(跨省)
556	813路(原930支1路)(跨省)
557	931路
559	891路(原931支1路)
561	935路[西段]
562	936路(原936支线[九谷口])
1274	936区间
563	867路(原936支线[红螺寺])
564	937路
565	840路(原937支线)
566	841路(原937支1路)
1800	552路
567	842路(原937支2路)
568	843路(原937支3路)
569	844路(原937支4路)
571	937支6路
1962	861内环(原916内环)
574	845路(原937专线)
576	808路(原938支9路)
577	810路(原938支线)(跨省)
578	938路(跨省)
1960	818路(原930班车[天洋城])
580	801路(原938支1路)
581	802路(原938支2路)
582	803路(原938支3路)
583	804路(原938支4路)
584	805路(原938支5路)(跨省)
585	806路(原938支6路)
586	807路(原938支7路)
1610	806路[祥和乐园](原938支6路[祥和乐园])
588	809路(原938支9专线[玉带路])
589	939路
590	940路
1944	916支线[卧龙岗]
591	942路
592	942支线
594	944路
1955	851路
596	945路
597	870路(原947路)
599	948路
1956	专线20区间
1703	883快车(原919区间快车)
601	954路
602	955路
603	946路(原955区间)
604	957路
605	998路
606	829路(原957快车)
607	848路[南段](原957快2路南段)
608	827路(原957快1路)
609	958路
610	959路
611	960路
612	963路
1780	1快车
613	966路
614	967路[南段]
615	967快车
616	968路
1633	556路
617	970路
618	971路
619	978路
620	972路
621	962路(原972支线)
622	973路
623	974路
625	976路
626	976支线
627	976区间
628	977路
629	961路(原977支线)
630	980路
631	981路
927	昌21路
928	昌22路
634	982路
635	983路(原983支线)
636	984路
638	986路
639	987路
640	988路
641	989路
642	991路
643	992路
644	993路
645	996路
646	427路
647	428路
648	429路
649	460路(环行)
650	461路(环行)
651	462路
652	463路
653	464路
654	465路
655	466路
656	467路
657	468路
658	469路
659	470路(环行)
660	471路(环行)
661	472路
662	473路
679	457路
683	477路
668	机场5线
1834	953路
663	934路
677	456路
676	459路
678	458路
664	机场1线
665	机场2线
666	机场3线
667	机场4线
669	南苑机场专线
	
1569	机场夜间线
671	机场天津线
1781	952百合专线
675	482路
680	474路
681	476路
682	475路
684	478路
685	480路
686	481路
687	333内环
1788	849快车(原943区间快车)(跨省)
689	943路(跨省)
695	485路
694	484路
696	54路
690	888快车(原919支1快车)
703	486路
704	487路
705	489路
706	490路
707	61路
708	48路
709	488路
710	432路
711	50路
712	615路
713	特5路
714	特6路
715	323路
716	临线100路
720	通1路
721	通2路
722	通3路
723	通4路
724	通6路
725	通7路
727	通9路
728	通10路
729	通11路
730	通12路
731	通14路
732	通15路
733	通13路
734	新城1路
737	兴18路
738	兴15路
739	兴16路
740	兴17路
741	兴26路
742	兴19路
743	兴20路
1134	顺31路
747	兴25路
749	房37路
750	房38路
751	房33路
752	房35路
753	房36路
1933	980金山岭旅游专线(跨省)
1934	918盘山旅游专线(跨省)
1518	房24路
757	房11路
758	房12路
759	房13路
760	房17路
761	房18路
762	房20路
763	房25路
764	房27路
765	房28路
766	房30路
769	房39路
1820	地铁15号线(M15)
1867	平5路
781	昌56路
783	昌13路
785	昌20路[南农]
787	昌25路
788	昌26路
789	昌27路
790	顺1路
791	顺2路
792	顺11路
793	顺12区间
794	顺13路
795	顺14路
796	顺15路
797	顺16路
798	顺36路
800	顺17路
801	顺18路
802	顺19路
804	顺20路
805	顺21路
806	顺22路
807	顺23路
808	顺41路
809	顺25路
810	顺26路
811	顺38路
812	顺27路
813	顺28区间[道口]
814	顺29路
815	平13路
816	平14路
818	平20路
819	平22路
822	平15路
823	平12路
1501	936支线[庄户]
843	831区间(原917支1区间)
844	837快车
1905	836快车(原917十渡)
1205	平44路
1206	平45路
846	密2路
847	密3路
848	密5路
849	密6路
851	密7路
852	密8路
853	密9路
854	密10路
855	密11路
872	558路
858	临线101路
862	兴14路
863	新城3路
874	919路(原919大站快车)
1381	886路(原919支6路)
1777	901路(原901区间)
868	新城2路
869	兴27路
875	房15路
876	房16路
877	房21路
878	房22路
879	房23路
1850	通30路
880	房29路(跨省)
881	房31路
884	郊87路[通州-大兴]
885	63路
889	498路
893	495路
888	511路
890	455路
910	671路
891	499路
892	运通117线
895	496路
896	507路
897	681路
898	682路
899	494路
984	925路[大庄科-解字石]
1787	548路
902	502路
903	679路
905	503路
907	505路
909	680路
914	479路
992	846路(原976区间快车)
1382	852路(原918快1路)
1887	回龙观-健德门直达快车
917	491路(环行)
918	492路(环行)
919	493路
985	321区间
920	670路[上东廓]
1843	专线3路
923	龙泽夜班线(环行)
1860	专线5路(原21专线)
925	833区间(原917支3区间)
929	529路
1225	540路
951	916快车
949	运通119线
948	运通118线
936	326路
937	513路
938	515路
939	516路
940	501路
946	605路
947	518路
953	915快车
954	918快车
956	524路
957	525路
959	985区间
1019	816路(原930区1路)(跨省)
970	861外环(原916内环)
1499	936支线[西台子]
968	昌55路
973	862内环(原916外环)
974	537路
975	918路[关上]
977	892路[大村](原929支线[大村])
993	运通120线
994	机场6线
986	地铁10号线(M10)
995	975路
991	密63路
1031	延3路(原920环3路[延庆四小])
997	兴28路
999	兴29路
1000	兴31路
1001	兴32路
1002	顺34路
1003	顺39路
1004	顺30路
1006	通19路
1525	郊86路[通州-怀柔]
1007	通20路
1008	金融街专线
1009	通23路
1010	通24路
1011	通18路
1012	通17路
1013	通16路
1014	通21路
1524	通27路
1015	通22路
1016	通25路
1523	通26路
1195	901快车(原901路)
1020	357区间
1021	817路(原930区2路)(跨省)
1022	815路(原930燕郊北线)(跨省)
1023	652路
1024	517路
1026	521路
1027	523路
1028	399内环
1029	527路
1033	916空调
1034	地铁4号线(M4)
1036	平2路
1037	平1路
1038	平11路
1039	平16路
1040	平17路
1041	平18路
1042	平19路
1043	平21路
1044	平23路
1045	平24路
1046	平25路
1047	平26路
1048	平27路
1049	平28路
1050	平29路
1051	平30路
1052	平31路
1053	平32路[向阳]
1054	平33路
1055	平34路
1056	平35路
1057	郊95路[平谷-怀柔]
1058	郊98路[平谷-大兴]
1059	空港1路[2号航站楼]
1060	郊81路[密云-大兴]
1886	霍营-健德门直达快车
1063	密23路
